Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
103,C Jimmie Johnson BK,467.5000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Jimmie Johnson Backup,,,,
104,C Connor Zilisch BK,469.8125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Connor Zilisch Backup,,,,
105,C Shane Van Gisbergen BK,465.6750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Shane Van Gisbergen Backup,,,,
106,C Corey Lajoie BK,456.0625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Corey Lajoie Backup,,,,
107,O Garrett Smithley PR,463.6375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Garrett Smithley Primary,,,,
108,O Sheldon Creed PR,468.2875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Sheldon Creed Primary,,,,
109,O Ryan Ellis PR,456.1500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Ryan Ellis Primary,,,,
110,O Josh Bilicki PR,466.3125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Josh Bilicki Primary,,,,
111,O Carson Kvapil PR,468.9125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Carson Kvapil Primary,,,,
112,O Jesse Love PR,469.2375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Jesse Love Primary,,,,
113,O Caesar Bacarella PR,467.1875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Caesar Bacarella Primary,,,,
114,O Luke Fenhaus PR,458.0250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Luke Fenhaus Primary,,,,
115,O Justin Allgaier PR,468.8625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Justin Allgaier Primary,,,,
116,O Sammy Smith PR,462.7875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Sammy Smith Primary,,,,
117,O Corey Day PR,457.9875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Corey Day Primary,,,,
118,O William Sawalich PR,464.7875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series William Sawalich Primary,,,,
119,O Giovanni Ruggiero PR,466.0125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Giovanni Ruggiero Primary,,,,
120,O Brandon Jones PR,461.8625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Brandon Jones Primary,,,,
121,O Austin Hill PR,456.8625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Austin Hill Primary,,,,
122,O Harrison Burton PR,453.0750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Harrison Burton Primary,,,,
123,O Nick Sanchez PR,468.8250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Nick Sanchez Primary,,,,
124,O Dean Thompson PR,452.0250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Dean Thompson Primary,,,,
125,O Jeb Burton PR,459.3750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Jeb Burton Primary,,,,
126,O Kyle Sieg PR,452.0875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Kyle Sieg Primary,,,,
127,O Carson Ware PR,461.8750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Carson Ware Primary,,,,
128,O Blaine Perkins PR,467.1750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Blaine Perkins Primary,,,,
129,O Jordan Anderson PR,460.0250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Jordan Anderson Primary,,,,
130,O Natalie Decker PR,458.4250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Natalie Decker Primary,,,,
131,O Patrick Emerling PR,460.3875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Patrick Emerling Primary,,,,
132,O Ryan Sieg PR,457.0125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Ryan Sieg Primary,,,,
133,O Sam Mayer PR,451.3750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Sam Mayer Primary,,,,
134,O Carson Hocevar PR,469.7125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Carson Hocevar Primary,,,,
135,O Brennan Poole PR,453.3750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Brennan Poole Primary,,,,
